А,1348
Б,1836
В,563
Г,1091
Д,849
Е,111
Ё,2
Ж,445
З,692
И,380
Й,4
К,2528
Л,762
М,1409
Н,511
О,872
П,1929
Р,627
С,1974
Т,1086
У,296
Ф,211
Х,309
Ц,251
Ч,751
Ш,299
Щ,166
Ъ,0
Ы,0
Ь,0
Э,247
Ю,154
Я,230
